,state_id,Title,Total,Partial vaccinated,Fully Vaccinated,Date
218,34,Uttar Pradesh,2077983,1457700,620283,2021-03-13 18:01:15
219,35,Uttarakhand,283584,198074,85510,2021-03-13 18:01:15
220,36,West Bengal,2101575,1739613,361962,2021-03-13 18:01:15
221,37,Daman and Diu,6724,5618,1106,2021-03-13 18:01:15
222,1,Andaman and Nicobar Islands,11693,8926,2767,2021-03-14 18:00:43
223,2,Andhra Pradesh,881921,644610,237311,2021-03-14 18:00:43
224,3,Arunachal Pradesh,48215,35654,12561,2021-03-14 18:00:43
225,4,Assam,497722,413455,84267,2021-03-14 18:00:43
226,5,Bihar,1159608,867885,291723,2021-03-14 18:00:43
227,6,Chandigarh,40701,34965,5736,2021-03-14 18:00:43
228,7,Chhattisgarh,763377,571298,192079,2021-03-14 18:00:43
229,8,Dadra and Nagar Haveli,8871,6727,2144,2021-03-14 18:00:43
230,9,Delhi,560392,438862,121530,2021-03-14 18:00:43
231,10,Goa,59323,47655,11668,2021-03-14 18:00:43
232,11,Gujarat,2083770,1568691,515079,2021-03-14 18:00:43
233,12,Haryana,395200,292010,103190,2021-03-14 18:00:43
234,13,Himachal Pradesh,183330,119938,63392,2021-03-14 18:00:43
235,14,Jammu and Kashmir,379043,323902,55141,2021-03-14 18:00:43
236,15,Jharkhand,524193,380103,144090,2021-03-14 18:00:43
237,16,Karnataka,1067414,740906,326508,2021-03-14 18:00:43
238,17,Kerala,1127842,846849,280993,2021-03-14 18:00:43
239,18,Ladakh,31958,29060,2898,2021-03-14 18:00:43
240,19,Lakshadweep,2541,1659,882,2021-03-14 18:00:43
241,20,Madhya Pradesh,1149691,814751,334940,2021-03-14 18:00:43
242,21,Maharashtra,2132547,1720471,412076,2021-03-14 18:00:43
243,22,Manipur,74287,64185,10102,2021-03-14 18:00:43
244,23,Meghalaya,61893,50935,10958,2021-03-14 18:00:43
245,24,Mizoram,46297,36127,10170,2021-03-14 18:00:43
246,25,Nagaland,41574,32404,9170,2021-03-14 18:00:43
247,26,Odisha,890002,620613,269389,2021-03-14 18:00:43
248,27,Puducherry,24531,20768,3763,2021-03-14 18:00:43
249,28,Punjab,310829,246071,64758,2021-03-14 18:00:43
250,29,Rajasthan,2456146,2011573,444573,2021-03-14 18:00:43
251,30,Sikkim,41351,33766,7585,2021-03-14 18:00:43
252,31,Tamil Nadu,1108075,986954,121121,2021-03-14 18:00:43
253,32,Telangana,498000,290166,207834,2021-03-14 18:00:43
254,33,Tripura,143677,96435,47242,2021-03-14 18:00:43
255,34,Uttar Pradesh,2092937,1472200,620737,2021-03-14 18:00:43
256,35,Uttarakhand,286089,199775,86314,2021-03-14 18:00:43
257,36,West Bengal,2117785,1753725,364060,2021-03-14 18:00:43
258,37,Daman and Diu,6724,5618,1106,2021-03-14 18:00:43
259,1,Andaman and Nicobar Islands,12045,9202,2843,2021-03-15 18:00:55
260,2,Andhra Pradesh,955244,708375,246869,2021-03-15 18:00:55
